OccMain,OccSub,OccMid,OccMinor,OccCodeAgg,1985,1990,1995,2000,2005,ShortTitle,MainTitle,MidTitle,MinorTitle,MinorTitleLabel,,,,,,,
B,10,115,1059,Agg059,1985060,1990057,1995057,2000060,2005061,Administrative and managerial workers NOC,,,Administrative and managerial workers not classified elsewhere,"Administrators, managers NEC",,,,,,,
C,10,116,1060,Agg060,1985061,1990058,1995058,2000061,2005062,General clerical workers,CLERICAL WORKERS,GENERAL CLERICAL WORKERS,General clerical workers,General office clerks,,,,,,,
C,10,116,1061,Agg061,1985065,1990059,1995059,2000062,2005063,Accountancy clerks,,,Accountancy clerks,Accountancy clerks,,,,,,,
C,10,117,1062,Agg062,1985066,1990060,1995060,2000063,2005064,Money collectors,,OUTDOOR SERVICE WORKERS,Money collectors,Money collectors,,,,,,,
C,10,117,1063,Agg063,1985063,1990061,1995061,2000064,2005065,Other outdoor service workers,,,Other outdoor service workers,Other out-of-office workers,,,,,,,
C,10,118,1064,Agg064,1985064,1990062,1995062,2000065,2005066,Transport clerical workers,,TRANSPORT AND COMMUNICATION CLERIAL WORKERS,Transport clerical workers,Transport clerks,,,,,,,
C,10,118,1065,Agg065,1985066,1990063,1995063,2000066,2005067,Post and communications clerical workers,,,Post and communications clerical workers,"Posts, comms clerks",,,,,,,
C,10,119,1066,Agg066,1985067,1990064,1995064,2000067,2005068,"Stenographers, typists and word processor operators",,OFFICE APPLIANCE OPERATORS,"Stenographers, typists and word processor operators",Typists and word processors,,,,,,,
C,10,119,1067,Agg067,1985068,1990065,1995065,2000068,2005069,Key punchers,,,Key punchers,Key punchers,,,,,,,
C,10,119,1068,Agg068,1985069,1990066,1995066,2000069,2005070,Computer operators,,,Computer operators,Computer operators,,,,,,,
D,10,120,1069,Agg069,1985070,1990067,1995067,2000070,2005071,Retailers,SALES WORKERS,MERCHANDISE SALES WORKERS,Retailers,Retailers,,,,,,,
D,10,120,1070,Agg070,1985071,1990068,1995068,2000071,2005072,Wholesalers,,,Wholesalers,Wholesalers,,,,,,,
D,10,120,1071,Agg071,1985072,1990069,1995069,2000072,2005073,Restaurateurs,,,Restauranteurs,Restaurant operators,,,,,,,
D,10,120,1072,Agg072,1985073,1990070,1995070,2000073,2005074,Shop assistants,,,Shop assistants,Shop assistants,,,,,,,
D,10,120,1073,Agg073,1985074,1990071,1995071,2000074,2005075,Home visit and mobile sales workers,,,Home visit and mobile sales workers,Peddlers and street vendors,,,,,,,
D,10,120,1074,Agg074,1985075,1990072,1995072,2000075,2005076,Recycled resources wholesale and collection workers,,,Recycled resources wholesale and collection workers,Junk dealers,,,,,,,
D,10,120,1075,Agg075,1985077,1990073,1995073,2000076,2005077,Goods sales canvassers,,,Goods sales canvassers,Traveling salespersons,,,,,,,
D,10,120,1076,Agg076,1985076,1990074,1995074,2000077,2005078,Commodity brokers,,,Commodity brokers,Commodity brokers,,,,,,,
D,10,121,1077,Agg077,1985080,1990075,1995075,2000078,2005079,Real estate agents and dealers,,QUASI-SALES WORKERS,Real estate agents and dealers,Real estate agents,,,,,,,
D,10,121,1078,Agg078,1985079,1990076,1995076,2000079,2005080,Insurance brokers and salesmen,,,Insurance brokers and salesmen,Insurance representatives,,,,,,,
D,10,121,1079,Agg079,1985081,1990077,1995077,2000080,NA,,,,(Pawnbrokers),Pawnbrokers,,,,,,,
D,10,121,1079,Agg079,1985078,1990078,1995078,2000081,2005081,"Salesmen (except merchandise, insurance and real estate)",,,"Salesmen (except merchandise, insurance and real estate)",Salespersons NEC,,,,,,,
D,10,121,1080,Agg080,1985082,1990079,1995079,2000082,2005082,Other quasi-sales workers,,,Other quasi-sales workers,Quasi-sales NEC,,,,,,,
E,10,122,1081,Agg081,1985274,1990080,1995080,2000083,2005083,Housekeepers and home helpers,SERVICE WORKERS,DOMESTIC SUPPORT SERVICE WORKERS,Housekeepers and home helpers,Hosuekeepers and domestic helpers,,,,,,,
E,10,122,1082,Agg082,1985275,1990081,1995081,2000084,2005084,Home helpers,,,Home helpers,Domestic helpers,,,,,,,
E,10,122,1083,Agg083,1985276,1990082,1995082,2000085,2005085,Other domestic support service workers,,,Other domestic support service workers,Domestic support NEC,,,,,,,
E,10,123,1084,Agg084,1985277,1990083,1995083,2000086,2005086,Hairdressers,,DOMESTIC HYGIENE SERVICE WORKERS,Hairdressers,Hairdressers,,,,,,,
E,10,123,1085,Agg085,1985278,1990084,1995084,2000087,2005087,Beauticians,,,Beauticians,Beauticians,,,,,,,
E,10,123,1086,Agg086,1985279,1990085,1995085,2000088,2005088,Bath workers,,,Bath workers,Bathhouse workers,,,,,,,
E,10,123,1087,Agg087,1985280,1990086,1995086,2000089,2005089,Launderers and fullers,,,Launderers and fullers,Launderers and dry cleaners,,,,,,,
E,10,124,1088,Agg088,1985281,1990087,1995087,2000090,2005090,Cooks,,FOOD AND DRINK PREPARATORY WORKERS,Cooks,Cooks,,,,,,,
E,10,124,1089,Agg089,1985282,1990088,1995088,2000091,2005091,Bartenders,,,Bartenders,Bartenders,,,,,,,
E,10,125,1090,Agg090,1985283,1990089,1995089,2000092,2005092,Food and drink service and personal assistance workers,,CUSTOMER SERVICE WORKERS,Food and drink service and personal assistance workers,Waiters and servants,,,,,,,
E,10,125,1091,Agg091,1985284,1990090,1995090,2000093,2005093,Customer entertainment workers,,,Customer entertainment workers,Customer entertainment,,,,,,,
E,10,125,1092,Agg092,1985285,1990091,1995091,2000094,2005094,Geisha and dancers,,,Geisha and dancers,Geisha and dancers,,,,,,,
E,10,125,1093,Agg093,1985286,1990092,1995092,2000095,2005095,"Service workers in places of entertainment, etc.",,,"Service workers in places of entertainment, etc.","Recreation, amusement place workers",,,,,,,
E,10,125,1094,Agg094,1985288,NA,NA,NA,NA,,,,(Other personal service workers),Personal service workers NEC,,,,,,,
E,10,125,1095,Agg095,1985289,1990093,1995093,2000096,2005096,"Masters, managers and Banto (attendants) of hotel",,,"Masters, managers and Banto (attendants) of hotel",Hotel managers and attendants,,,,,,,
E,10,126,1096,Agg096,1985290,1990094,1995094,2000097,2005097,"Superintendents of lodgings, apartment houses and matron",,"RESIDENTIAL FACILITIES, OFFICE BUILDINGS AND OTHER MANAGEMENT PERSONNEL","Superintendents of lodgings, apartment houses and matron",Lodging and residence superintendents,,,,,,,
E,10,126,1096,Agg096,NA,1990095,1995095,2000098,2005098,Superintendents of buildings,,,Superintendents of buildings,Building superintendents,,,,,,,
E,10,126,1096,Agg096,NA,1990096,1995096,2000099,2005099,Superintendents of parking lots,,,Superintendents of parking lots,Parking lot superintendents,,,,,,,
E,10,127,1097,Agg097,NA,1990097,1995097,2000100,2005100,Travel attendants,,OTHER SERVICE WORKERS,Travel attendants,Travel attendants,,,,,,,
E,10,127,1098,Agg098,1985287,1990098,1995098,2000101,2005101,Luggage checkers; renters,,,Left luggage handlers,Baggage handlers,,,,,,,
E,10,127,1098,Agg098,NA,NA,NA,2000102,2005102,,,,Commodity hire workers,Cargo handlers,,,,,,,
E,10,127,1099,Agg099,1985291,1990099,1995099,2000103,2005103,Advertisers,,,Advertisers,Advertisers,,,,,,,
E,10,127,1100,Agg100,NA,NA,NA,2000104,2005104,Undertakers and crematorium workers,,,Undertakers and crematorium workers,Undertakers and crematorium workerts,,,,,,,
E,10,127,1100,Agg100,NA,NA,NA,2000105,2005105,Care workers (treatment and welfare institution),,,Care workers (treatment and welfare institution),Care workers,,,,,,,
E,10,127,1100,Agg100,1985292,1990100,1995100,2000106,2005106,Service workers not classified elsewhere,,,Service workers not classified elsewhere,Service workers NEC,,,,,,,
F,10,128,1101,Agg101,1985269,1990101,1995101,2000107,2005107,Self-defence officials,SECURITY WORKERS,PUBLIC SECURITY WORKERS,Self-defence officials,Protective services workers,,,,,,,
F,10,128,1102,Agg102,1985270,1990102,1995102,2000108,2005108,Police officers and maritime safety officials,,,Police officers and maritime safety officials,Police officers,,,,,,,
F,10,128,1103,Agg103,1985272,1990103,1995103,2000109,2005109,Prison guards and other judicial police staff,,,Prison guards and other judicial police staff,Prison guards,,,,,,,
F,10,128,1104,Agg104,1985271,1990104,1995104,2000110,2005110,Firefighters,,,Firefighters,Firefighters,,,,,,,
F,10,128,1105,Agg105,NA,1990105,1995105,2000111,2005111,,,,,NA,,,,,,,
F,10,128,1105,Agg105,1985273,1990106,1995106,2000112,2005112,Other public secrity workers,,,Other public security workers,Protective services workers NEC,,,,,,,
G,10,129,1106,Agg106,1985083,1990107,1995107,2000113,2005113,Crop farming and sericulture workers,"AGRICULTURE, FORESTRY AND FISHERY WORKERS",AGRICULTURE WORKERS,Crop farming and sericulture workers,Field crop workers and sericulturists,,,,,,,
G,10,129,1107,Agg107,1985084,1990108,1995108,2000114,2005114,Livestock farm workers,,,Livestock farm workers,Livestock producers,,,,,,,
G,10,129,1108,Agg108,1985085,1990109,1995109,2000115,2005115,Landscape gardeners and nursery workers,,,Landscape gardeners and nursery workers,Landscape gardeners and nursery growers,,,,,,,
G,10,129,1109,Agg109,1985086,1990110,1995110,2000116,2005116,Other agricultural workers,,,Other agricultural workers,Agricultural workers NEC,,,,,,,
G,10,130,1110,Agg110,1985087,1990111,1995111,2000117,2005117,Forest nursery workers,,FORESTRY WORKERS,Forest nursery workers,Forestry and related workers,,,,,,,
G,10,130,1111,Agg111,1985088,1990112,1995112,2000118,NA,,,,,NA,,,,,,,
G,10,130,1111,Agg111,1985089,1990113,1995113,2000119,2005118,"Tree-felling, logging and timber transportation workers",,,"Tree-felling, logging and timber transportation workers",Lumberjacks,,,,,,,
G,10,130,1112,Agg112,1985090,1990114,1995114,2000120,NA,,,,,NA,,,,,,,
G,10,130,1112,Agg112,1985091,1990115,1995115,2000121,2005119,Other forestry workers,,,Other forestry workers,Forestry workers NEC,,,,,,,
G,10,131,1113,Agg113,1985092,1990116,1995116,2000122,2005120,Fishery workers,,FISHERY WORKERS,Fishery workers,Fishery workers,,,,,,,
G,10,131,1114,Agg114,1985093,1990118,1995118,2000123,2005121,Fishing boat operators,,,"Ships' captains, navigation officers, chief engineers and engineers (fishing boat)",Fishing boat captains and related,,,,,,,
G,10,131,1115,Agg115,1985094,1990117,1995117,2000124,2005122,Seaweed and shellfish harvesting workers,,,Seaweed and shellfish harvesting workers,Seaweed and shellfish harvesters,,,,,,,
G,10,131,1116,Agg116,1985095,1990119,1995119,2000125,2005123,Aquaculture workers,,,Aquaculture workers,Aquaculture workers,,,,,,,
G,10,131,1117,Agg117,1985096,1990120,1995120,2000126,2005124,Other fishery workers,,,Other fishery workers,Fishery workers NEC,,,,,,,
H,10,132,1118,Agg118,1985105,1990121,1995121,2000127,2005125,Railway drivers,TRANSPORT AND COMMUNICATION WORKERS,RAILWAY DRIVERS,Railway drivers,Railway drivers,,,,,,,
H,10,132,1118,Agg118,1985106,1990122,1995122,2000128,NA,,,,,NA,,,,,,,
H,10,133,1119,Agg119,1985107,1990123,1995123,2000129,2005126,Motor vehicle drivers,,MOTOR VEHICLE DRIVERS,Motor vehicle drivers,Motor vehicle drivers,,,,,,,
H,10,134,1120,Agg120,1985108,1990124,1995124,2000130,2005127,"Ship captains, navigation officers, navigators (except fishing boats) and pilots",,SHIP AND AIRCRAFT OPERATORS,"Ship captains, navigation officers, navigators (except fishing boats) and pilots",Ship captains and navigators,,,,,,,
H,10,134,1121,Agg121,1985109,1990125,1995125,2000131,2005128,Ships' chief engineers and engineers (except fishing boats),,,Ships' chief engineers and engineers (except fishing boats),Ship engineers,,,,,,,
H,10,134,1122,Agg122,1985110,1990126,1995126,2000132,2005129,Aircraft pilots and aviation engineers,,,Aircraft pilots and aviation engineers,Aircraft pilots and engineers,,,,,,,
H,10,135,1123,Agg123,1985111,1990127,1995127,2000133,2005130,Conductors,,OTHER TRANSPORT WORKERS,Conductors,Conductors,,,,,,,
H,10,135,1124,Agg124,1985112,1990128,1995128,2000134,NA,134ìSìπóAëóä÷òAã∆ñ±è]éñé“,,,,NA,,,,,,,
H,10,135,1125,Agg125,1985113,1990129,1995129,2000135,2005131,"Deckhands, dual purpose crew and stokers",,,"Deckhands, dual purpose crew and stokers","Deck crews, related",,,,,,,
H,10,135,1125,Agg125,1985114,1990130,1995130,2000136,NA,,,,,NA,,,,,,,
H,10,135,1126,Agg126,NA,NA,NA,NA,2005132,Forklift (vehicle) driver,,,Forklift (vehicle) driver,Lifting truck operators,,,,,,,
H,10,135,1127,Agg127,1985115,1990131,1995131,2000137,2005133,Transport workers not classified elsewhere,,,Transport workers not classified elsewhere,Transport workers NEC,,,,,,,
H,10,136,1128,Agg128,1985116,1990132,1995132,2000138,2005134,Communication technology workers,,COMMUNICATION WORKERS,Communication technology workers,Communications workers,,,,,,,
H,10,136,1128,Agg128,1985117,1990133,1995133,2000139,NA,,,,,NA,,,,,,,
H,10,136,1129,Agg129,1985118,1990134,1995134,2000140,2005135,Telephone exchange operators,,,Telephone exchange operators,Telephone exchange operators,,,,,,,
H,10,136,1130,Agg130,1985119,1990135,1995135,2000141,2005136,Mail and telegram collection and delivery workers,,,Mail and telegram collection and delivery workers,"Mail, telegram collection and delivery",,,,,,,
H,10,136,1131,Agg131,1985120,1990136,1995136,2000142,2005137,Other communication workers,,,Other communication workers,Communications workers NEC,,,,,,,
I,11,137,1132,Agg132,1985121,1990154,1995154,2000143,2005138,Pig-iron forging and steelmaking workers,MANUFACTURING AND PRODUCTION WORKERS,METAL MATERIAL MANUFACTURING WORKERS,Pig-iron forging and steelmaking workers,Steelmaking workers,,,,,,,
I,11,137,1133,Agg133,1985122,1990155,1995155,2000144,2005139,Non-ferrous metal smelting workers,,,Non-ferrous metal smelting workers,Non-ferrous smelting workers,,,,,,,
I,11,137,1134,Agg134,1985123,1990156,1995156,2000145,2005140,Cast metal manufacturing workers,,,Cast metal manufacturing workers,Molders,,,,,,,
I,11,137,1135,Agg135,1985124,1990157,1995157,2000146,2005141,Forging workers,,,Forging workers,Forgers,,,,,,,
I,11,137,1136,Agg136,1985127,1990158,1995158,2000147,2005142,Metal heat treatment workers,,,Metal heat treatment workers,Metal heat treaters,,,,,,,
I,11,137,1137,Agg137,1985125,1990159,1995159,2000148,2005143,Rolling workers,,,Rolling workers,Rolling mill workers,,,,,,,
I,11,137,1138,Agg138,1985126,1990160,1995160,2000149,2005144,Wire drawing workers,,,Wire drawing workers,Wire drawing workers,,,,,,,
I,11,137,1139,Agg139,1985128,1990161,1995161,2000150,2005145,Other metal material manufacturing workers,,,Other metal material manufacturing workers,Other metals related workers,,,,,,,
I,11,138,1140,Agg140,1985224,1990162,1995162,2000151,2005146,Chemical products manufacturing workers,,CHEMICAL PRODUCTS MANUFACTURING WORKER,Chemical products manufacturing workers,Chemical operators,,,,,,,
I,11,138,1141,Agg141,1985225,1990163,1995163,2000152,NA,,,,,NA,,,,,,,
I,11,138,1141,Agg141,1985226,1990164,1995164,2000153,2005147,Other chemical products manufacturing workers,,,Other chemical products manufacturing workers,Chemical products workers NEC,,,,,,,
I,11,139,1143,Agg143,1985202,1990146,1995146,2000155,2005148,Glass product shaping workers,,"CERAMIC, EARTH AND STONE PRODUCT MANUFACTURING WORKERS",Glass product shaping workers,Glass formers,,,,,,,
I,11,139,1144,Agg144,1985205,1990147,1995147,2000156,2005149,"Brick, tile and clay pipe manufacturing workers",,,"Brick, tile and clay pipe manufacturing workers","Brick, tile and earthen pipe makers",,,,,,,
I,11,139,1145,Agg145,1985203,1990148,1995148,2000157,2005150,Porcelain and ceramic manufacturing workers,,,Porcelain and ceramic manufacturing workers,Porcelain and ceramic makers,,,,,,,
I,11,139,1146,Agg146,1985204,1990149,1995149,2000158,2005151,Ceramic painting workers,,,Ceramic painting workers,Ceramic decorators,,,,,,,
I,11,139,1147,Agg147,1985206,1990150,1995150,2000159,2005152,Cement manufacturing workers,,,Cement manufacturing workers,Cement makers,,,,,,,
I,11,139,1148,Agg148,1985207,1990151,1995151,2000160,2005153,Cement products manufacturing workers,,,Cement products manufacturing workers,Cement products makers,,,,,,,
I,11,139,1149,Agg149,1985208,1990152,1995152,2000161,2005154,Stonemasons,,,Stonemasons,Stonemasons,,,,,,,
I,11,139,1150,Agg150,1985201,1990145,1995145,2000154,NA,,,,,NA,,,,,,,
I,11,139,1150,Agg150,1985209,1990153,1995153,2000162,2005155,"Other ceramic, earth and stone product manufacturing workers",,,"Other ceramic, earth and stone product manufacturing workers","Ceramic, clay, stone workers NEC",,,,,,,
I,11,140,1151,Agg151,1985129,1990165,1995165,2000163,2005156,Metal machine tools workers,,METAL PROCESSING WORKERS,Metal machine tools workers,Metal cutting machine operators,,,,,,,
I,11,140,1152,Agg152,1985130,1990166,1995166,2000164,2005157,Metal press workers,,,Metal press workers,Metal press operators,,,,,,,
I,11,140,1153,Agg153,1985131,1990167,1995167,2000165,2005158,Metal welding and fusion cutting workers,,,Metal welding and fusion cutting workers,Welders and framecutters,,,,,,,
I,11,140,1154,Agg154,1985132,1990168,1995168,2000166,2005159,Ironworkers and boilermakers,,,Ironworkers and boilermakers,Ironworkers and boilermakers,,,,,,,
I,11,140,1155,Agg155,1985133,1990169,1995169,2000167,2005160,Sheet metal workers,,,Sheet metal workers,Sheet metal workers,,,,,,,
I,11,140,1157,Agg157,1985134,1990170,1995170,2000168,NA,Metal engravers,,,Metal engravers,Metal engravers,,,,,,,
I,11,140,1156,Agg156,1985135,1990171,1995171,2000169,2005161,Plating workers,,,Plating workers,Galvanizers,,,,,,,
I,11,140,1157,Agg157,1985136,1990172,1995172,2000170,2005162,Other metal processing workers,,,Other metal processing workers,Metal processing workers NEC,,,,,,,
I,11,141,1158,Agg158,1985137,1990173,1995173,2000171,2005163,General mechanical apparatus assembly workers,,GENERAL MECHANICAL APPARATUS ASSEMBLY AND REPAIR WORKERS,General mechanical apparatus assembly workers,Mechanical machinery assemblers,,,,,,,
